Model Name,Model Type,License Class,License Description,Commercial Use,License URL
SD 1.4,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 1.5,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 1.5 LCM,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 1.5 Hyper,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 2.0,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 2.0 768,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 2.1,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 2.1 768,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SD 2.1 Unclip,Image,RAIL,CreativeML Open RAIL-M,Restricted,https://huggingface.co/spaces/CompVis/stable-diffusion-license
SDXL 0.9,Image,NON_COMMERCIAL,Research Only (Non-Commercial),Not Allowed,https://huggingface.co/stabilityai/stable-diffusion-xl-base-0.9
SDXL 1.0,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
SDXL 1.0 LCM,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
SDXL Distilled,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
SDXL Turbo,Image,NON_COMMERCIAL,SAI Non-Commercial Research License,Not Allowed,https://huggingface.co/stabilityai/sdxl-turbo
SDXL Lightning,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
SDXL Hyper,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
Pony,Image,RAIL,CreativeML Open RAIL++-M,Restricted,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md
Pony V7,Image,NON_COMMERCIAL,Custom Non-Commercial Clause,Not Allowed,https://huggingface.co/OnomaAIResearch/Illustrious-xl-early-release-v0
Illustrious,Image,NON_COMMERCIAL,Custom Non-Commercial Clause,Not Allowed,https://huggingface.co/OnomaAIResearch/Illustrious-xl-early-release-v0
NoobAI,Image,NON_COMMERCIAL,Custom Non-Commercial Clause,Not Allowed,https://huggingface.co/Laxhar/noobai-XL-1.1
SD 3,Image,REVENUE_GATED,> $1M Revenue Cap (SAI Community License),Allowed <$1M,https://huggingface.co/stabilityai/stable-diffusion-3.5-large/blob/main/LICENSE.md
SD 3.5,Image,REVENUE_GATED,> $1M Revenue Cap (SAI Community License),Allowed <$1M,https://huggingface.co/stabilityai/stable-diffusion-3.5-large/blob/main/LICENSE.md
SD 3.5 Medium,Image,REVENUE_GATED,> $1M Revenue Cap (SAI Community License),Allowed <$1M,https://huggingface.co/stabilityai/stable-diffusion-3.5-medium/blob/main/LICENSE.md
SD 3.5 Large,Image,REVENUE_GATED,> $1M Revenue Cap (SAI Community License),Allowed <$1M,https://huggingface.co/stabilityai/stable-diffusion-3.5-large/blob/main/LICENSE.md
SD 3.5 Large Turbo,Image,REVENUE_GATED,> $1M Revenue Cap (SAI Community License),Allowed <$1M,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-turbo/blob/main/LICENSE.md
Flux.1 S,Image,APACHE,Apache 2.0 (Schnell),Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
Flux.1 D,Image,ENTERPRISE_REQUIRED,Flux Non-Commercial License,Not Allowed,https://huggingface.co/black-forest-labs/FLUX.1-dev/blob/main/LICENSE.md
Flux.1 Krea,Image,ENTERPRISE_REQUIRED,Requires Enterprise License (Flux.1 D Derivative),Not Allowed,https://fal.ai/models/fal-ai/flux/krea
Flux.1 Kontext,Image,ENTERPRISE_REQUIRED,Requires Enterprise License (Flux.1 D Derivative),Not Allowed,https://huggingface.co/black-forest-labs/FLUX.1-Kontext-dev/blob/main/LICENSE.md
Flux.2 D,Image,ENTERPRISE_REQUIRED,Requires Enterprise License (BFL Non-Commercial),Not Allowed,https://huggingface.co/black-forest-labs/FLUX.2-dev/blob/main/LICENSE.md
Flux.2 Klein 9B,Image,ENTERPRISE_REQUIRED,Requires Enterprise License,Not Allowed,https://huggingface.co/black-forest-labs/FLUX.2-klein-9B/blob/main/LICENSE.md
Flux.2 Klein 9B-base,Image,ENTERPRISE_REQUIRED,Requires Enterprise License,Not Allowed,https://huggingface.co/black-forest-labs/FLUX.2-klein-base-9B/blob/main/LICENSE.md
Flux.2 Klein 4B,Image,APACHE,Apache 2.0 (Klein 4B),Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
Flux.2 Klein 4B-base,Image,APACHE,Apache 2.0 (Klein 4B Base),Allowed,https://huggingface.co/datasets/choosealicense/licenses/blob/main/markdown/apache-2.0.md
